Actor,Peliculas,Sexo
A. Garcia Calderon,"['Lola, espejo oscuro']",
Aaron Abrams,['Regresión'],Hombre
Aaron Ashmore,['Regresión'],Hombre
Aaron Gómez,['Fogueo'],Hombre
Aaron Lux,"['Ayudar al ojo humano', 'La tumba de Bruce Lee']",Hombre
Abdel Ali El Aziz,['No habrá paz para los malvados'],Hombre
Abdel Aziz El Mountassir,['La mujer ilegal'],Hombre
Abdel Hamid Krim,['Los Totenwackers'],Hombre
Abdelatif Hwidar,"['La enfermedad del domingo', 'Fuerte Apache', 'Todos los nombres de Dios', 'Asamblea', 'La lista de los deseos', 'Un mundo normal', 'La vida abismal', 'Neckan']",
Abel Ayala,['El baile de la Victoria'],Hombre
Abel Folk,"['El coronel Macià', '53 días de invierno', 'Barcelona, noche de invierno', 'El viaje de Arián', 'Pasos de baile', 'El juego del ahorcado', 'La teta y la luna', 'Iris', 'Gimlet', 'Barrios altos', 'Golpe maestro']",Hombre
Abel Mora,"['Ocho apellidos vascos', 'Plan de fuga']",Hombre
Abel Serbouti,['Ana de día'],Hombre
Abel Vitón,"['La noche oscura', 'El Dorado', 'El portero', 'El Love Feroz o Cuando los hijos juegan al amor']",Hombre
Abi Power,['Superagente Makey'],
Abidine Salam,['La marcha verde'],
Abraham Aguilar,['El lince perdido'],Hombre
Abraham Santacruz,['2097'],Hombre
Abril García,['Hijo de Caín'],
Abril Zamora,['¿A quién te llevarías a una isla desierta?'],
Achero Mañas,"['La guerra de los locos', 'El rey del río', '¡Dispara!', 'Belmonte', 'Historias de la puta mili', 'Las aventuras de Enrique y Ana']",
Ada Mar,['Secaderos'],Mujer
Adal Ramones,['Reyes contra Santa'],
Adam Butcher,['Regresión'],Hombre
Adam Jezierski,"['Gordos', 'Cruzando el límite', 'Jefe', 'Tensión sexual no resuelta', 'Blockbuster', 'Verbo', 'Tres 60']",Hombre
Adam Nourou,['Adú'],Hombre
Adam Quintero,"['El increíble finde menguante', 'Open Windows', 'La jauría']",Hombre
Addy Ventura,['Don Lucio y el hermano Pío'],Hombre
Adela Carboné,"['Segundo López, aventurero urbano', 'Con la vida hicieron fuego']",Mujer
Adela Escartín,['El libro de buen amor'],Mujer
Adela Silvestre,['La hija de un ladrón'],Mujer
Adelfa Calvo,"['Los renglones torcidos de Dios', 'En los márgenes', 'Viaje al cuarto de una madre', 'El autor', 'Madres paralelas', 'El verano que vivimos', 'Miel de naranjas', 'Sevillanas de Brooklyn', 'Operación Camarón']",Mujer
Adeline Flaun,['La mujer ilegal'],Mujer
Ademar Silvoso,['Nove de Novembro'],Hombre
Ademilis Hernández,['Lejos de África'],
Adil Koukouh,['A escondidas'],Hombre
Adis Suljic,['El color de las nubes'],Hombre
Adolfo Duarte,['Aprendiendo a morir'],Hombre
Adolfo Fernández,"['Mataharis', 'Vida y color', 'Bienvenido a Farewell-Gutmann', 'Evelyn', 'Silencio en la nieve', 'Mujeres en el parque', 'Todos estamos invitados', 'Kasbah', 'Cuando los ángeles duermen', 'El pianista', 'Muertos comunes', 'Alpha', 'Pieles', 'A tiro limpio', 'Una mujer invisible', 'Hotel Tívoli', 'Un buen novio']",Hombre
Adolfo García Grau,"['Alejandra, mon amour (AKA Operación Comando) (AKA Alejandra, mi amor)']",Hombre
Adolfo Losada,['Pápa Piquillo'],Hombre
Adolfo Marsillach,"['Maribel y la extraña familia', 'Salto a la gloria', 'Las salvajes en Puente San Gil', 'El secreto de Mónica', 'Sesión continua', 'El largo invierno', 'Esquilache', 'La ciudad quemada', '091, policía al habla', 'El certificado', 'Al servicio de la mujer española', 'La regenta', 'Jeromín', 'La pandilla de los once', 'La paz empieza nunca', 'La cruz del diablo']",Hombre
Adolfo Thous,"['La noche oscura', 'Ceremonia sangrienta']",Hombre
Adolfo Torrado,"['Dos chicas de revista', 'A mí las mujeres ni fu, ni fa']",Hombre
Adria Arjona,"['Little Galicia', 'Anomalous']",Mujer
Adrian G. Griffiths,['Lo que de verdad importa'],Hombre
Adrian Grösser,"['Èxode, de la batalla a la frontera (TV)']",Hombre
Adrian Grösser,['El sitio de Otto'],Hombre
Adrian Pang,['Boi'],Hombre
Adriana Ambesi,['Malenka'],Mujer
Adriana Camarena,['Hermana muerte'],Mujer
Adriana Davidova,"['Siempre hay un camino a la derecha', 'I Love You Baby']",Mujer
Adriana Domínguez,"['Noviembre', 'El regalo de Silvia', 'El sueño de Ibiza']",Mujer
Adriana Feito,['La revolución de los ángeles'],Mujer
Adriana Fornés,['Mari(dos)'],Mujer
Adriana Galo,"['Cenizas en el cielo (Un cel de plom)', ""El último tren al rock'n'roll""]",Mujer
Adriana Gil,['Operasiones espesiales'],Mujer
Adriana Ozores,"['En la ciudad sin límites', 'El método', 'La vida de nadie', 'Cuando vuelvas a mi lado', 'Héctor', 'La hora de los valientes', 'Nacidas para sufrir', 'La primera noche de mi vida', 'Ataque verbal', 'Invisibles', 'La suerte dormida', 'Heroína', 'Plenilunio', 'Últimas voluntades', 'Los zancos', 'Pídele cuentas al rey', 'Cerca de tu casa', '8 citas', 'El alquimista impaciente', 'El comensal', 'Manolito Gafotas', 'El palo', 'Niño nadie', 'Es peligroso casarse a los 60', '¿De qué se ríen las mujeres?', 'Thi Mai, rumbo a Vietnam', 'Esperpentos', 'El liguero mágico', 'Los chulos', 'El hijo del cura', 'La loca historia de los tres mosqueteros', 'Brujas mágicas', '¡Qué gozada de divorcio!', 'El cura ya tiene hijo', 'El pan debajo del brazo', 'No lo llames amor... llámalo X']",Mujer
Adriana Paz,['El autor'],Mujer
Adriana Roel,['Sor Ye-yé'],Mujer
Adriana Santucci,['Malenka'],Mujer
Adriana Torrebejano,"['La sombra de la ley', 'La madriguera']",Mujer
Adriana Ubani,"['Culpa mía', 'De perdidos a Río']",Mujer
Adriana Ugarte,"['Durante la tormenta', 'Julieta', 'Palmeras en la nieve', 'Tiempo sin aire', 'Gente en sitios', 'Cabeza de perro', 'El juego del ahorcado', 'Castillos de cartón', 'Lo contrario al amor', 'Lo mejor de Eva', 'Lobo feroz', 'Combustión', 'Gente de mala calidad']",Mujer
Adriana Vega,"['Al este del oeste', 'Los liantes', 'La noche del ejecutor', 'El liguero mágico', 'Cuatro mujeres y un lío', 'El recomendado', 'Esto sí se hace', ""Historia de 'S'"", 'El Cid cabreador']",Mujer
Adrianna Medina,['La cinta de Álex'],Mujer
Adriano Carvalho,['Intemperie'],Hombre
