Título,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañías,Coproducción,Géneros,Premios,Presupuesto,Ingresos,Protagonistas
El verdugo,https://www.filmaffinity.com/es/film411856.html,Sí,8.2,41447.0,1963-01-01,"['José Isbert', 'Nino Manfredi', 'Emma Penella', 'José Luis López Vázquez', 'Ángel Álvarez', 'María Luisa Ponte', 'María Isbert', 'Julia Caba Alba', 'Guido Alberti', 'Erasmo Pascual', 'Xan das Bolas', 'José Orjas', 'José María Prada']",['Luis García Berlanga'],"['Naga Films', 'Zabra Films']",['España-Italia'],"['Comedia', 'Sátira', 'Comedia negra', 'Película de culto']",['1963: Festival de Venecia: Premios FIPRESCI'],0.0,0.0,José Isbert
Los santos inocentes,https://www.filmaffinity.com/es/film879812.html,Sí,8.1,44470.0,1984-01-01,"['Alfredo Landa', 'Francisco Rabal', 'Juan Diego', 'Terele Pávez', 'Agustín González', 'Manuel Zarzo', 'Belén Ballesteros', 'Juan Sanchez', 'Ágata Lys', 'Mary Carrillo', 'José Guardiola', 'Maribel Martín']",['Mario Camus'],"['Ganesh', 'RTVE']",[],"['Drama', 'Drama social', 'Vida rural', 'Años 60', 'Caza']","['1984: Cannes: Mejor Actor (ex aequo: Francisco Rabal y Alfredo Landa)', '1985: Círculo de Escritores Cinematográficos', 'España: Mejor Película', '1986: Premios ACE: Mejor Actor (Alfredo Landa)']",0.0,3149062.0,Alfredo Landa
Plácido,https://www.filmaffinity.com/es/film895672.html,Sí,8.1,20396.0,1961-01-01,"['Cassen', 'José Luis López Vázquez', 'Elvira Quintilla', 'Amelia de la Torre', 'Julia Caba Alba', 'Amparo Soler Leal', 'Manuel Alexandre', 'Mari Carmen Yepes', 'Agustín González', 'Luis Ciges', 'Antonio Ferrandis', 'José Orjas', 'Xan das Bolas']",['Luis García Berlanga'],"['Jet Films', 'Alfredo Matas']",[],"['Comedia', 'Pobreza', 'Navidad', 'Sátira']","['1961: Nominada al Oscar: Mejor película de habla no inglesa', '1962: Festival de Cannes: Nominada a la Palma de Oro (mejor película)']",0.0,0.0,Cassen
Viridiana,https://www.filmaffinity.com/es/film123112.html,Sí,8.1,28771.0,1961-01-01,"['Silvia Pinal', 'Fernando Rey', 'Francisco Rabal', 'Margarita Lozano', 'José Calvo', 'Lola Gaos', 'Luis Heredia', 'Victoria Zinny', 'Joaquín Roa', 'José Manuel Martín', 'Juan García Tienda', 'Sergio Mendizábal', 'María Isbert', 'Teresa Rabal']",['Luis Buñuel'],"['Films 59', 'Uninci']",['España-México'],"['Drama', 'Religión', 'Película de culto']",['1961: Festival de Cannes: Palma de Oro (ex-aequo)'],0.0,679244.0,Silvia Pinal
"Bienvenido, Míster Marshall",https://www.filmaffinity.com/es/film435869.html,Sí,8.0,31421.0,1953-01-01,"['José Isbert', 'Lolita Sevilla', 'Manolo Morán', 'Alberto Romea', 'Elvira Quintilla', 'Luis Pérez de León', 'Félix Fernández', 'Fernando Aguirre', 'Joaquín Roa', 'Nicolás Perchicot', 'José Franco', 'Rafael Alonso', 'José María Rodríguez']",['Luis García Berlanga'],['Uninci'],[],"['Comedia', 'Sátira']",['1953: Festival de Cannes: Premio Internacional (Comedia) y mención especial (guion)'],0.0,0.0,José Isbert
Calle Mayor,https://www.filmaffinity.com/es/film751438.html,Sí,8.0,9291.0,1956-01-01,"['Betsy Blair', 'José Suárez', 'Yves Massard', 'Luis Peña', 'Dora Doll', 'Alfonso Godá', 'Manuel Alexandre']",['Juan Antonio Bardem'],"['Suevia Films', 'Play Art', 'Iberia Films']",['España-Francia'],['Drama'],['1956: Festival de Venecia: Premio FIPRESCI. Nominada al León de Oro'],0.0,0.0,Betsy Blair
El extraño viaje,https://www.filmaffinity.com/es/film771720.html,Sí,7.8,10195.0,1964-01-01,"['Carlos Larrañaga', 'Tota Alba', 'Lina Canalejas', 'Jesús Franco', 'Rafaela Aparicio', 'Sara Lezana', 'María Luisa Ponte', 'Teresa Gisbert', 'Luis Marín', 'Goyo Lebrero', 'Luis Domínguez Luna', 'Cayetano Torregrosa', 'Rafael Alcántara']",['Fernando Fernán Gómez'],"['Ízaro Films', 'Pro Artis Ibérica']",[],"['Intriga', 'Drama', 'Comedia negra', 'Vida rural', 'Familia', 'Película de culto']",[],0.0,0.0,Carlos Larrañaga
El mundo sigue,https://www.filmaffinity.com/es/film505862.html,Sí,7.8,5052.0,1965-01-01,"['Lina Canalejas', 'Fernando Fernán Gómez', 'Gemma Cuervo', 'Milagros Leal', 'Francisco Pierrá', 'Agustín González', 'José Morales', 'José Calvo', 'Fernando Guillén', 'María Luisa Ponte', 'Jacinto San Emeterio', 'Pilar Bardem', 'José María Caffarel']",['Fernando Fernán Gómez'],['Ada Films'],[],"['Drama', 'Familia', 'Melodrama', 'Pobreza']",[],0.0,0.0,Lina Canalejas
Muerte de un ciclista,https://www.filmaffinity.com/es/film406123.html,Sí,7.8,11995.0,1955-01-01,"['Lucía Bosé', 'Alberto Closas', 'Bruna Corrà', 'Carlos Casaravilla', 'Otello Toso', 'Alicia Romay', 'Julia Delgado Caro', 'Matilde Muñoz Sampedro', 'Mercedes Albert', 'José Sepúlveda', 'José Prada', 'Fernando Sancho', 'Manuel Alexandre']",['Juan Antonio Bardem'],"['Trionfalcine', 'Guión Producciones Cinematográficas']",['España-Italia'],"['Cine negro', 'Drama', 'Crimen', 'Drama psicológico', 'Melodrama', 'Drama romántico']",['1955: Festival de Cannes: Premio de la Crítica Internacional (FIPRESCI)'],0.0,0.0,Lucía Bosé
El Sur,https://www.filmaffinity.com/es/film725860.html,Sí,7.7,15610.0,1983-01-01,"['Omero Antonutti', 'Sonsoles Aranguren', 'Icíar Bollaín', 'Lola Cardona', 'Rafaela Aparicio', 'Germaine Montero', 'Aurore Clément', 'María Caro', 'Francisco Merino', 'José Vivó']",['Víctor Erice'],"['Chloe Productions', 'RTVE', 'Elías Querejeta P.C.']",['España-Francia'],"['Drama', 'Familia', 'Infancia', 'Adolescencia', 'Posguerra española', 'Vida rural']","['1983: Festival de Cannes: Nominada a la Palma de Oro (mejor película)', '1983: Festival de Chicago: Hugo de Oro - Mejor película']",0.0,0.0,Omero Antonutti
Tesis,https://www.filmaffinity.com/es/film531662.html,Sí,7.7,96364.0,1996-01-01,"['Ana Torrent', 'Fele Martínez', 'Eduardo Noriega', 'Nieves Herranz', 'Rosa Campillo', 'Miguel Picazo', 'Xabier Elorriaga', 'Rosa Ávila', 'Paco Hernández', 'Julio Vélez', 'Joserra Cadiñanos', 'Pilar Ortega', 'Olga Margallo', 'Emiliano Otegui', 'Walter Prieto', 'José Luis Cuerda']",['Alejandro Amenábar'],"['Las Producciones del Escorpión', 'Sogepaq']",[],"['Intriga', 'Thriller', 'Cine dentro del cine', 'Colegios & Universidad', 'Asesinos en serie', 'Secuestros / Desapariciones', 'Película de culto']","['1996: 7 Premios Goya: incluyendo mejor película', 'dirección novel y guión original', '1996: Premios Forqué: Mejor película']",0.0,2647055.0,Ana Torrent
Celda 211,https://www.filmaffinity.com/es/film270489.html,Sí,7.7,120975.0,2009-01-01,"['Luis Tosar', 'Alberto Ammann', 'Antonio Resines', 'Carlos Bardem', 'Marta Etura', 'Vicente Romero', 'Manuel Morón', 'Manolo Solo', 'Fernando Soto', 'Luis Zahera', 'Patxi Bisquert', 'Félix Cubero', 'Josean Bengoetxea', 'Juan Carlos Mangas', 'Jesús Carroza']",['Daniel Monzón'],"['La Fabrique de Films', 'Morena Films', 'Telecinco Cinema', 'Vaca Films']",['España-Francia'],"['Thriller', 'Drama', 'Drama carcelario', 'ETA']","['2009: 8 Premios Goya', 'incluyendo Mejor película', 'Director y Actor (Tosar). 16 nom.', '2009: Premios Forqué: Mejor película y Mejor actor (Luis Tosar)', '2010: Premios del Cine Europeo: 2 Nominaciones: Mejor guión y Actor (Luis Tosar)', '']",5700000.0,19300483.0,Luis Tosar
El viaje a ninguna parte,https://www.filmaffinity.com/es/film372761.html,Sí,7.7,12388.0,1986-01-01,"['José Sacristán', 'Fernando Fernán Gómez', 'Juan Diego', 'María Luisa Ponte', 'Nuria Gallardo', 'Gabino Diego', 'Laura del Sol', 'Agustín González', 'Óscar Ladoire', 'Queta Claver', 'Simón Andreu', 'Carlos Lemos', 'Carmelo Gómez']",['Fernando Fernán Gómez'],"['Ganesh', 'RTVE']",[],"['Drama', 'Comedia', 'Comedia dramática', 'Años 40', 'Posguerra española', 'Teatro', 'Cine dentro del cine']","['1986: 3 Premios Goya: Mejor película', 'dirección y guión']",0.0,0.0,José Sacristán
Surcos,https://www.filmaffinity.com/es/film323900.html,Sí,7.7,4790.0,1951-01-01,"['Luis Peña', 'María Asquerino', 'Francisco Arenzana', 'Marisa de Leza', 'Félix Dafauce', 'Francisco Bernal', 'Félix Briones', 'Rafael Calvo Revilla', 'José Prada', 'Chano Conde', 'Casimiro Hurtado', 'Montserrat Carulla', 'Ramón Elías', 'Pilar Sirvent', 'Marujita Díaz']",['José Antonio Nieves Conde'],['Atenea Films'],[],"['Drama', 'Vida rural', 'Años 40', 'Posguerra española', 'Neorrealismo']",['1952: Festival de Cannes: Nominada a la Palma de Oro (mejor película)'],0.0,0.0,Luis Peña
As bestas,https://www.filmaffinity.com/es/film227540.html,Sí,7.7,31583.0,2022-01-01,"['Marina Foïs', 'Denis Ménochet', 'Luis Zahera', 'Diego Anido', 'Marie Colomb', 'Luisa Merelas', 'José Manuel Fernández y Blanco', 'Xavier Estévez', 'Gonzalo García', 'Federico Pérez', 'Javier Varela', 'Pepo Suevos', 'Machi Salgado', 'Emile Duthu']",['Rodrigo Sorogoyen'],"['Arcadia Motion Pictures', 'Caballo Films', 'Cronos Entertainment AIE', 'Le Pacte', 'RTVE', 'Movistar Plus+', 'Canal+', 'Ciné+']",['España-Francia'],"['Thriller', 'Drama', 'Vida rural']","['2022: 9 Premios Goya', 'incluyendo Mejor película', 'dirección', 'guion y actor', '2022: Premios César: Mejor película extranjera', '2022: Festival de San Sebastián: Premio del Público - Mejor film europeo', '2022: Festival de Tokio: Mejor película', 'director y actor (Menochet)', '2022: Premios Feroz: Mejor película drama', 'actor de reparto (Zahera) y música', '2023: Premios Platino: 4 premios', 'incluyendo Mejor dirección. 6 nominaciones']",3900000.0,10238603.0,Marina Foïs
Campanadas a medianoche,https://www.filmaffinity.com/es/film926968.html,Sí,7.6,5505.0,1965-01-01,"['Orson Welles', 'Keith Baxter', 'John Gielgud', 'Jeanne Moreau', 'Margaret Rutherford', 'Marina Vlady', 'Norman Rodway', 'Alan Webb', 'Fernando Rey', 'Walter Chiari', 'Andrew Faulds', 'Michael Aldridge', 'Julio Peña']",['Orson Welles'],"['Alpine Films', 'Internacional Films']",['España-Suiza-Francia'],"['Drama', 'Comedia', 'Bélico', 'Edad Media', 'Siglo XV', 'Amistad', 'Histórico']","['1966: Festival de Cannes: Premio técnico', '1967: Premios BAFTA: Nominada a Mejor actor extranjero (Orson Welles)']",800000.0,0.0,Orson Welles
